customerID,tenure,Contract,PaymentMethod,MonthlyCharges,TotalCharges,Churn,ChurnProbability,RiskLevel,PriorityScore,HighValue
7216-EWTRS,1,Month-to-month,Electronic check,100.8,100.8,Yes,0.9504408,High,92.0,True
5419-JPRRN,1,Month-to-month,Electronic check,101.45,101.45,Yes,0.9350582,High,91.08,True
3178-FESZO,1,Month-to-month,Credit card (automatic),100.25,100.25,Yes,0.9296965,High,90.41,True
0107-YHINA,1,Month-to-month,Electronic check,99.75,99.75,Yes,0.92353696,High,89.85,True
9300-AGZNL,1,Month-to-month,Electronic check,94.0,94.0,Yes,0.94320333,High,89.77,True
5178-LMXOP,1,Month-to-month,Electronic check,95.1,95.1,Yes,0.9371449,High,89.63,True
9497-QCMMS,1,Month-to-month,Electronic check,93.55,93.55,Yes,0.94254744,High,89.61,True
2012-NWRPA,11,Month-to-month,Electronic check,99.55,1131.2,Yes,0.91927344,High,89.5,True
4910-GMJOT,1,Month-to-month,Electronic check,94.6,94.6,Yes,0.93695974,High,89.49,True
8149-RSOUN,1,Month-to-month,Electronic check,93.85,93.85,Yes,0.93714917,High,89.31,True
0295-PPHDO,1,Month-to-month,Electronic check,95.45,95.45,Yes,0.93129086,High,89.3,True
0897-FEGMU,11,Month-to-month,Electronic check,99.5,1056.95,Yes,0.91044223,High,88.87,True
6861-XWTWQ,7,Month-to-month,Electronic check,99.25,665.45,Yes,0.9084342,High,88.66,True
1455-UGQVH,10,Month-to-month,Electronic check,98.5,1037.75,Yes,0.9040338,High,88.17,True
1875-QIVME,2,Month-to-month,Electronic check,104.4,242.8,Yes,0.8807631,High,88.03,True
9305-CDSKC,8,Month-to-month,Electronic check,99.65,820.5,Yes,0.8972285,High,87.98,True
2968-SSGAA,10,Month-to-month,Electronic check,100.6,1060.2,Yes,0.89357007,High,87.96,True
2446-BEGGB,6,Month-to-month,Electronic check,98.25,560.6,Yes,0.89799404,High,87.68,True
5293-WXJAK,11,Month-to-month,Bank transfer (automatic),104.05,1133.65,Yes,0.87577295,High,87.59,True
7181-BQYBV,1,Month-to-month,Electronic check,102.45,102.45,Yes,0.8795041,High,87.45,True
9681-OXGVC,5,Month-to-month,Electronic check,100.5,514.0,Yes,0.88472307,High,87.32,True
3158-MOERK,2,Month-to-month,Electronic check,96.0,174.8,Yes,0.8999952,High,87.25,True
1450-GALXR,10,Month-to-month,Electronic check,98.5,1058.25,Yes,0.8898041,High,87.17,True
2265-CYWIV,4,Month-to-month,Electronic check,99.6,347.65,Yes,0.88433105,High,87.07,True
8775-LHDJH,1,Month-to-month,Electronic check,90.6,90.6,Yes,0.91681653,High,87.07,True
3389-YGYAI,8,Month-to-month,Electronic check,105.5,829.55,Yes,0.8618798,High,86.98,True
8884-ADFVN,7,Month-to-month,Electronic check,101.95,700.85,Yes,0.8731461,High,86.88,True
2454-RPBRZ,12,Month-to-month,Electronic check,98.1,1060.2,Yes,0.8863192,High,86.83,True
